2024-08-09 09:57:37.235 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 10:37:09.744 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 38.6658 ms
2024-08-09 10:37:55.083 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 41.0601 ms
2024-08-09 10:37:55.180 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 26.5216 ms
2024-08-09 10:38:01.030 +05:30 [INF] HTTP GET /Project responded 200 in 16.5324 ms
2024-08-09 10:38:02.381 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 7.8899 ms
2024-08-09 10:38:02.434 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 4.5983 ms
2024-08-09 10:38:12.852 +05:30 [INF] HTTP GET /Project responded 200 in 5.0294 ms
2024-08-09 10:38:15.343 +05:30 [INF] HTTP GET /Project/Details/5 responded 200 in 5.6564 ms
2024-08-09 10:38:15.388 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 1.7916 ms
2024-08-09 10:38:21.064 +05:30 [INF] HTTP GET /documents/c77748ff-84e5-4b51-a3a3-c1d6622c609d_Arun-Bio.pdf responded 200 in 123.6580 ms
2024-08-09 10:38:23.502 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 2.8741 ms
2024-08-09 10:39:27.031 +05:30 [INF] HTTP GET /ProjectTask responded 200 in 534.9159 ms
2024-08-09 11:03:17.007 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 11:03:17.752 +05:30 [INF] HTTP GET / responded 200 in 755.0794 ms
2024-08-09 11:03:32.467 +05:30 [INF] HTTP GET /Project responded 200 in 1492.9741 ms
